App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
DC All Access§FAMILY§4.4§12639§96M§500,000+§Free§0§Teen§Entertainment§October 17, 2017§3.5§4.1 and up
Oracle CX Cloud Mobile§BUSINESS§4.4§48§54M§5,000+§Free§0§Everyone§Business§July 7, 2018§11.13.18.05.07.03§4.4 and up
cx-33wifi§FAMILY§4.4§63§7.6M§10,000+§Free§0§Everyone§Entertainment§November 14, 2015§1.4§2.2 and up
Avaya CX§BUSINESS§4.4§21§21M§1,000+§Free§0§Everyone§Business§July 25, 2018§v6.7.14§5.0 and up
Cymera Camera- Photo Editor, Filter,Collage,Layout§PHOTOGRAPHY§4.4§2418165§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 12, 2018§Varies with device§Varies with device
Camera360 Lite - Selfie Camera§PHOTOGRAPHY§4.4§221878§Varies with device§10,000,000+§Free§0§Everyone§Photography§August 1, 2018§Varies with device§4.1 and up
Security Camera CZ§HOUSE_AND_HOME§4.4§137§19M§10,000+§Free§0§Everyone§House & Home§July 17, 2018§1.1.10§4.1 and up
Breweries (CZ/SK)§LIFESTYLE§4.4§1740§4.4M§50,000+§Free§0§Teen§Lifestyle§July 27, 2017§3.1.0§4.1 and up
PLAYzone.cz§FAMILY§4.4§14§7.3M§500+§Free§0§Everyone§Entertainment§November 7, 2017§2.1.3§4.1 and up
Tools & Mi Band§HEALTH_AND_FITNESS§4.4§15753§13M§100,000+§Paid§$3.49§Everyone§Health & Fitness§July 26, 2018§3.7.3§4.3 and up
King of Math§FAMILY§4.4§766§14M§10,000+§Paid§$2.99§Everyone§Education;Education§May 22, 2018§1.0.11§2.2 and up
Battery Calibration§TOOLS§4.4§134412§11M§5,000,000+§Free§0§Everyone§Tools§July 27, 2018§3.0.5§4.4 and up
Metal Soldiers 2§GAME§4.4§153649§Varies with device§10,000,000+§Free§0§Teen§Action§June 18, 2018§1.11.2§4.1 and up
Run Sausage Run!§GAME§4.4§276105§Varies with device§10,000,000+§Free§0§Everyone 10+§Arcade§August 1, 2018§Varies with device§4.1 and up
Scale Models DB§TOOLS§4.4§9§33M§50+§Paid§$2.99§Everyone§Tools§May 3, 2018§0.6.2§4.3 and up
Guide for DB Xenoverse 2§BOOKS_AND_REFERENCE§4.4§121§8.7M§10,000+§Free§0§Everyone§Books & Reference§December 23, 2016§1.1.2§4.1 and up
Injustice: Gods Among Us§GAME§4.4§2440877§32M§10,000,000+§Free§0§Teen§Action§June 14, 2018§2.21§4.0 and up
FANDOM for: DC§FAMILY§4.4§6715§9.5M§500,000+§Free§0§Mature 17+§Entertainment§July 20, 2018§2.9.8.1§4.4 and up
DC Metro Transit - Free§TRAVEL_AND_LOCAL§4.4§6895§10M§500,000+§Free§0§Everyone§Travel & Local§May 15, 2018§5.11.3.1§4.1 and up
Results for DC Lottery§FAMILY§4.4§160§8.5M§5,000+§Free§0§Everyone§Entertainment§March 11, 2017§5.1§4.1 and up
AutoScout24 - used car finder§AUTO_AND_VEHICLES§4.4§186648§42M§10,000,000+§Free§0§Everyone§Auto & Vehicles§August 2, 2018§9.3.52§4.2 and up
Heavy Bus Simulator§FAMILY§4.4§252006§26M§5,000,000+§Free§0§Everyone§Simulation§March 15, 2018§1.084§2.3 and up
CallApp: Caller ID, Blocker & Phone Call Recorder§COMMUNICATION§4.4§483782§20M§10,000,000+§Free§0§Everyone§Communication§July 29, 2018§1.286§4.1 and up
Destroy Gunners Σ§GAME§4.4§10786§21M§1,000,000+§Free§0§Everyone§Arcade§January 14, 2017§1.02§4.0.3 and up
DH Texas Poker - Texas Hold'em§GAME§4.4§562345§Varies with device§10,000,000+§Free§0§Teen§Casino§July 23, 2018§Varies with device§Varies with device
DEER HUNTER CLASSIC§GAME§4.4§3941129§77M§50,000,000+§Free§0§Teen§Action§July 16, 2018§3.12.0§3.0 and up
Red Bull TV: Live Sports, Music & Entertainment§FAMILY§4.4§42069§Varies with device§1,000,000+§Free§0§Teen§Entertainment§August 3, 2018§Varies with device§Varies with device
Meme Generator Free§FAMILY§4.4§303394§53M§10,000,000+§Free§0§Mature 17+§Entertainment§August 3, 2018§4.426§4.1 and up
Whoscall - Caller ID & Block§COMMUNICATION§4.4§552635§29M§10,000,000+§Free§0§Everyone§Communication§August 1, 2018§6.19.1§4.1 and up
Boomerang from Instagram§PHOTOGRAPHY§4.4§928720§Varies with device§50,000,000+§Free§0§Everyone§Photography§July 16, 2018§Varies with device§Varies with device
Euro Truck Driver (Simulator)§FAMILY§4.4§860078§30M§10,000,000+§Free§0§Everyone§Simulation§February 15, 2018§1.6.0§4.1 and up
DK Quiz§GAME§4.4§1628§34M§50,000+§Free§0§Everyone§Trivia§April 10, 2014§1.3§2.3 and up
dk Verk§BUSINESS§4.4§9§31M§500+§Free§0§Everyone§Business§March 14, 2018§2.0.14§4.1 and up
Account Class-12 Solutions (D K Goel) Vol-1§FAMILY§4.4§708§33M§50,000+§Free§0§Everyone§Education§February 12, 2018§1.0.0§3.0 and up
Advanced Download Manager Holo§TOOLS§4.4§16192§1.6M§1,000,000+§Free§0§Everyone§Tools§July 13, 2016§4.1.9o§4.0 and up
DM Screen§BOOKS_AND_REFERENCE§4.4§283§5.4M§10,000+§Free§0§Everyone 10+§Books & Reference§January 12, 2018§1.1.10a§4.0 and up
DM for WhatsApp§COMMUNICATION§4.4§25§2.9M§5,000+§Free§0§Everyone§Communication§June 3, 2018§0.3.7§4.4 and up
Fake Chat (Direct Message)§SOCIAL§4.4§5985§5.9M§500,000+§Free§0§Everyone§Social§July 6, 2017§1.4.2§4.1 and up
Basketball Dynasty Manager 16§SPORTS§4.4§426§21M§5,000+§Paid§$1.99§Everyone§Sports§June 1, 2016§2.2.3§4.0 and up
Destiny Ninja Shall we date otome games love story§GAME§4.4§13079§30M§500,000+§Free§0§Everyone 10+§Adventure§April 20, 2018§1.6.2§4.0 and up
NARUTO X BORUTO NINJA VOLTAGE§GAME§4.4§267395§71M§5,000,000+§Free§0§Everyone 10+§Action§July 19, 2018§1.1.7§4.4 and up
Google Keep§PRODUCTIVITY§4.4§691474§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
To Do Reminder with Alarm§PRODUCTIVITY§4.4§72161§4.9M§1,000,000+§Free§0§Everyone§Productivity§March 21, 2018§2.68.14§4.0 and up
wikiHow: how to do anything§BOOKS_AND_REFERENCE§4.4§43088§3.0M§1,000,000+§Free§0§Teen§Books & Reference§April 19, 2017§2.7.3§4.0 and up
To-do list§PRODUCTIVITY§4.4§688§4.4M§50,000+§Free§0§Everyone§Productivity§July 17, 2018§2.22§4.0 and up
Do I Snore or Grind§MEDICAL§4.4§2295§19M§100,000+§Free§0§Everyone§Medical§July 9, 2018§0.3.1§5.0 and up
Dp For WhatsApp§PERSONALIZATION§4.4§1623§11M§1,000,000+§Free§0§Mature 17+§Personalization§June 23, 2018§2.7§4.0.3 and up
Status For WhatsApp DP - pro§PERSONALIZATION§4.4§49§12M§10,000+§Free§0§Teen§Personalization§May 31, 2018§1.7§4.1 and up
Cute Images for Whatsapp§FAMILY§4.4§634§8.1M§100,000+§Free§0§Teen§Entertainment§December 23, 2015§1.0§2.3.3 and up
DP Display Pictures Life Quotes Motivational GM§SOCIAL§4.4§39§11M§5,000+§Free§0§Everyone§Social§January 1, 2018§20§4.1 and up
DRAGON QUEST VI§FAMILY§4.4§3358§17M§100,000+§Paid§$14.99§Everyone§Role Playing§August 1, 2018§1.0.4§2.3 and up
Monster Fishing 2018§SPORTS§4.4§32881§76M§1,000,000+§Free§0§Everyone§Sports§August 7, 2018§0.0.80§4.1 and up
Dr. Parking 4§GAME§4.4§475369§13M§50,000,000+§Free§0§Everyone§Racing§March 6, 2018§1.14§4.0.3 and up
Dr. Safety - Antivirus, Booster, Cleaner, AppLock§TOOLS§4.4§372553§21M§10,000,000+§Free§0§Everyone§Tools§August 6, 2018§3.0.1114§4.1 and up
DR.MEEP§FAMILY§4.4§54§33M§500+§Paid§$2.99§Everyone§Puzzle§June 29, 2018§1.2§4.1 and up
Dr. Panda's Swimming Pool§FAMILY§4.4§2311§9.3M§100,000+§Paid§$1.99§Everyone§Casual;Pretend Play§January 15, 2015§1.01§4.0 and up
Dr. Panda & Toto's Treehouse§FAMILY§4.4§3397§9.5M§50,000+§Paid§$3.99§Everyone§Casual;Pretend Play§December 9, 2014§1.8§4.0 and up
Dr. Booster - Boost Game Speed§TOOLS§4.4§138872§22M§10,000,000+§Free§0§Everyone§Tools§May 15, 2018§2.0.1077§4.1 and up
Dr. Panda Hospital§FAMILY§4.4§1091§45M§50,000+§Paid§$2.99§Everyone§Education;Pretend Play§December 5, 2013§1.6§2.0.1 and up
Dr. Panda Ice Cream Truck Free§FAMILY§4.4§23022§80M§1,000,000+§Free§0§Everyone§Role Playing;Pretend Play§August 2, 2018§2.16§4.1 and up
Soccer Manager 2018§SPORTS§4.4§63779§95M§1,000,000+§Free§0§Everyone§Sports§July 16, 2018§1.5.6§5.0 and up
PES CLUB MANAGER§SPORTS§4.4§783025§Varies with device§10,000,000+§Free§0§Everyone§Sports§June 7, 2018§1.7.2§4.2 and up
Top Soccer Manager§SPORTS§4.4§199739§66M§10,000,000+§Free§0§Everyone§Sports§August 6, 2018§1.18.8§4.0.3 and up
DU Security§TOOLS§4.4§4847§3.2M§100,000+§Free§0§Everyone§Tools§June 29, 2016§3.0.0.2071§4.0 and up
DU Privacy-hide apps、sms、file§VIDEO_PLAYERS§4.4§21762§Varies with device§1,000,000+§Free§0§Everyone§Video Players & Editors§August 16, 2017§Varies with device§4.0.3 and up
Hadith du jour§FAMILY§4.4§276§Varies with device§50,000+§Free§0§Everyone§Education§March 22, 2016§Varies with device§Varies with device
La Poupée du Voyant§FAMILY§4.4§265§8.2M§50,000+§Free§0§Everyone§Entertainment§January 6, 2017§1.0.0§4.1 and up
DW - Breaking World News§NEWS_AND_MAGAZINES§4.4§17671§17M§1,000,000+§Free§0§Everyone 10+§News & Magazines§August 6, 2018§2.3.10§4.2 and up
Hausa Radio§NEWS_AND_MAGAZINES§4.4§3375§4.2M§100,000+§Free§0§Everyone§News & Magazines§July 31, 2018§4.1§4.1 and up
PORTABLE SOCCER DX§SPORTS§4.4§552§1.6M§5,000+§Paid§$1.00§Everyone§Sports§June 19, 2018§3.4§2.2 and up
Tricky Bike Stunt Rider DX§FAMILY§4.4§16§45M§500+§Free§0§Everyone§Simulation;Education§July 29, 2018§1.1.1§4.0 and up
DX Glow - Clock Widget§PERSONALIZATION§4.4§5§3.4M§50+§Paid§$0.99§Everyone§Personalization§March 20, 2015§2.0§3.0 and up
JONACK (D Story Teller)§FAMILY§4.4§152§1.2M§10,000+§Free§0§Everyone§Entertainment§November 28, 2015§1.0§2.2 and up
Guardians of Ancora§FAMILY§4.4§969§26M§50,000+§Free§0§Everyone§Educational;Action & Adventure§July 20, 2018§2.9.1§2.3.3 and up
Triceratops - Dino Robot§FAMILY§4.4§3032§30M§1,000,000+§Free§0§Everyone§Casual§December 18, 2017§1.2.3§4.0 and up
Drugs Dz - Algeria§MEDICAL§4.4§187§Varies with device§10,000+§Free§0§Everyone§Medical§July 29, 2017§0.0.7§Varies with device
Numbers Into Words§PRODUCTIVITY§4.4§457§562k§50,000+§Free§0§Everyone§Productivity§May 6, 2014§1.2§2.1 and up
DZ sim§TOOLS§4.4§417§15M§10,000+§Free§0§Everyone§Tools§April 26, 2018§3.0§4.2 and up
ChangeDA - Cours du DZD sur le marché parallèle§FINANCE§4.4§188§3.3M§10,000+§Free§0§Everyone§Finance§July 28, 2018§2.5§4.2 and up
NBA LIVE Mobile Basketball§SPORTS§4.4§1690802§58M§50,000,000+§Free§0§Everyone§Sports§May 21, 2018§2.3.1§4.0 and up
Need for Speed™ No Limits§GAME§4.4§3344300§22M§50,000,000+§Free§0§Everyone 10+§Racing§July 24, 2018§2.12.1§4.1 and up
Plants vs. Zombies™ 2§FAMILY§4.4§567632§15M§10,000,000+§Free§0§Everyone 10+§Casual§June 12, 2018§6.8.1§4.1 and up
Bejeweled Classic§FAMILY§4.4§203101§Varies with device§5,000,000+§Free§0§Everyone§Casual§May 31, 2018§Varies with device§4.1 and up
TETRIS Blitz§FAMILY§4.4§201631§96M§5,000,000+§Free§0§Everyone§Puzzle§June 1, 2018§4.4.4§4.1 and up
SW Battlefront Companion§FAMILY§4.4§93870§79M§1,000,000+§Free§0§Everyone§Strategy§February 3, 2016§1.0.6§4.0 and up
League of Stickman 2018- Ninja Arena PVP(Dreamsky)§GAME§4.4§32496§99M§1,000,000+§Paid§$0.99§Teen§Action§July 3, 2018§5.3.3§2.3 and up
Stickman Legends: Shadow Wars§GAME§4.4§38419§100M§1,000,000+§Paid§$0.99§Everyone 10+§Action§August 3, 2018§2.3.24§4.1 and up
Gear.Club - True Racing§GAME§4.4§140658§37M§1,000,000+§Free§0§Everyone§Racing§August 1, 2018§1.21.2§4.3 and up
EC music dictionary§TOOLS§4.4§20§2.2M§500+§Paid§$1.99§Everyone§Tools§December 29, 2014§2.1§3.0 and up
SCS eC§PRODUCTIVITY§4.4§7§17M§100+§Free§0§Everyone§Productivity§October 21, 2016§1.0.1§4.1 and up
EF Financial Control Free§FINANCE§4.4§58§3.7M§10,000+§Free§0§Everyone§Finance§May 6, 2018§1.9.0§4.0.3 and up
EG SIM CARD (EGSIMCARD)§TRAVEL_AND_LOCAL§4.4§105§5.0M§10,000+§Free§0§Everyone§Travel & Local§May 2, 2018§2.5§2.3 and up
MY LITTLE PONY: Magic Princess§FAMILY§4.4§1309728§Varies with device§50,000,000+§Free§0§Everyone§Casual§July 11, 2018§Varies with device§Varies with device
Fashion Girls Dress up Makeup§FAMILY§4.4§115§31M§10,000+§Free§0§Everyone§Simulation§July 13, 2018§1.0§4.0 and up
MazeMilitia Classic Multiplayer Shooting Game§GAME§4.4§1294§44M§50,000+§Free§0§Mature 17+§Action§March 8, 2018§1.2§4.1 and up
Grand Bat Superhero Flying Assault Rescue Mission§GAME§4.4§1094§37M§500,000+§Free§0§Teen§Action§July 9, 2018§1.1§4.1 and up
RUN JUMP RUN-fun games for free§GAME§4.4§661§42M§100,000+§Free§0§Everyone§Action§April 20, 2018§1.5.2§3.0 and up
Princess Palace: Royal Pony§FAMILY§4.4§11442§66M§1,000,000+§Free§0§Everyone§Educational;Creativity§June 30, 2016§1.4§2.3 and up
Esporte Interativo - Notícias e Resultados Ao Vivo§SPORTS§4.4§4600§21M§500,000+§Free§0§Everyone§Sports§January 14, 2018§6.2.6§4.1 and up
Egg Baby§FAMILY§4.4§351607§8.7M§5,000,000+§Free§0§Everyone 10+§Casual§June 29, 2016§1.26.03§2.3.3 and up
PJ Masks: Moonlight Heroes§FAMILY§4.4§87045§99M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§June 5, 2018§2.0.1§4.0.3 and up
Bad Piggies HD§FAMILY§4.4§764967§69M§10,000,000+§Free§0§Everyone§Puzzle§July 5, 2018§2.3.4§4.1 and up
Rope Superhero Unlimited§GAME§4.4§6735§26M§1,000,000+§Free§0§Mature 17+§Action§May 10, 2017§1.1§2.3 and up
Stickman Warriors Heroes 2§GAME§4.4§13714§41M§1,000,000+§Free§0§Everyone 10+§Action§April 15, 2017§1.0.4§4.0.3 and up
Robot Fighting Games™ - Real Boxing Champions 3D§GAME§4.4§30§47M§5,000+§Free§0§Everyone§Action§July 2, 2018§1.1§4.1 and up
3D Metal Piano Keys Keyboard Theme§FOOD_AND_DRINK§4.4§467§7.3M§100,000+§Free§0§Everyone§Food & Drink§July 1, 2018§6.7.1§4.0.3 and up
Local weather Forecast§WEATHER§4.4§5482§12M§1,000,000+§Free§0§Everyone§Weather§August 7, 2018§2.42§4.0.3 and up
The Emirates App§TRAVEL_AND_LOCAL§4.4§22776§55M§1,000,000+§Free§0§Everyone§Travel & Local§August 6, 2018§4.7.1§5.0 and up
Hangman§FAMILY§4.4§23302§12M§5,000,000+§Free§0§Everyone§Puzzle§March 24, 2018§1.0.6§4.0 and up
El Dorado App§TRAVEL_AND_LOCAL§4.4§221§33M§10,000+§Free§0§Everyone§Travel & Local§April 6, 2018§2.4§4.1 and up
Weather 14 Days§WEATHER§4.4§279917§Varies with device§10,000,000+§Free§0§Everyone§Weather§July 18, 2018§Varies with device§Varies with device
The Game of Life§GAME§4.4§18652§63M§100,000+§Paid§$2.99§Everyone§Board§July 4, 2018§2.1.2§4.4 and up
Beach Shoot Em Up: Head Hunter§GAME§4.4§1218§15M§500,000+§Free§0§Everyone 10+§Action§March 6, 2018§1.0.9§2.3 and up
Game for KIDS: KIDS match'em§FAMILY§4.4§7006§6.9M§1,000,000+§Free§0§Everyone§Education§October 23, 2016§1.17§2.3 and up
Elevator Simulator Lift EM ALL§FAMILY§4.4§2941§28M§100,000+§Free§0§Teen§Simulation§July 31, 2018§2.4.1343-prod§4.0.3 and up
Zynga Poker – Texas Holdem§GAME§4.4§1986068§52M§50,000,000+§Free§0§Teen§Casino§July 25, 2018§21.54§4.1 and up
Instabridge - Free WiFi Passwords and Hotspots§TOOLS§4.4§211308§Varies with device§10,000,000+§Free§0§Everyone§Tools§August 2, 2018§Varies with device§4.1 and up
Big Fish Casino – Play Slots & Vegas Games§GAME§4.4§382100§Varies with device§10,000,000+§Free§0§Teen§Casino§July 11, 2018§Varies with device§Varies with device
NewsDog - Latest News, Breaking News, Local News§NEWS_AND_MAGAZINES§4.4§291901§4.3M§10,000,000+§Free§0§Mature 17+§News & Magazines§July 20, 2018§2.6.0§4.1 and up
Keyboard ManMan§TOOLS§4.4§121304§Varies with device§10,000,000+§Free§0§Everyone§Tools§March 11, 2018§Varies with device§Varies with device
Classic Words Solo§GAME§4.4§135739§Varies with device§5,000,000+§Free§0§Everyone§Word§August 7, 2018§Varies with device§Varies with device
Ginger Keyboard - Emoji, GIFs, Themes & Games§PRODUCTIVITY§4.4§162831§43M§5,000,000+§Free§0§Everyone§Productivity§August 1, 2018§8.1.01§4.1 and up
English Hindi Dictionary§BOOKS_AND_REFERENCE§4.4§384368§Varies with device§10,000,000+§Free§0§Everyone§Books & Reference§August 4, 2018§Varies with device§Varies with device
Masha and the Bear§FAMILY§4.4§15105§36M§1,000,000+§Free§0§Everyone§Education§June 11, 2018§3.1.8§4.3 and up
Out There Chronicles - Ep. 1§FAMILY§4.4§1516§44M§50,000+§Paid§$2.99§Everyone§Role Playing§November 27, 2017§1.0.4§4.2 and up
Superbrothers Sword & Sworcery§GAME§4.4§11023§16M§100,000+§Paid§$3.99§Teen§Adventure§January 26, 2018§1.0.20§2.3 and up
EP Kalkulator el. energije§TOOLS§4.4§13§1.5M§100+§Free§0§Everyone§Tools§February 20, 2015§4.0§4.0 and up
The Visitor: Ep.1 - Kitty Cat Carnage§GAME§4.4§3017§39M§500,000+§Free§0§Mature 17+§Adventure§January 2, 2018§1.3.7§4.3 and up
Gate Of Death Ep: 1§GAME§4.4§7§34M§100+§Free§0§Everyone§Adventure§October 7, 2016§1.1§2.3 and up
Little Eye Surgery Simulator - ER Doctor Game§FAMILY§4.4§12§19M§1,000+§Free§0§Teen§Casual§April 20, 2018§1.0§2.3 and up
Scanner Radio - Fire and Police Scanner§FAMILY§4.4§175509§Varies with device§10,000,000+§Free§0§Everyone§Entertainment§August 7, 2018§Varies with device§Varies with device
ES Themes -- Classic Theme§PERSONALIZATION§4.4§77609§1.9M§1,000,000+§Free§0§Everyone§Personalization§April 24, 2015§1.14§1.6 and up
RAR§TOOLS§4.4§669901§Varies with device§50,000,000+§Free§0§Everyone§Tools§August 7, 2018§Varies with device§Varies with device
Hymnes et Louanges§BOOKS_AND_REFERENCE§4.4§1877§5.7M§100,000+§Free§0§Everyone§Books & Reference§March 21, 2017§2.4.1§4.1 and up
Moneycontrol – Stocks, Sensex, Mutual Funds, IPO§FINANCE§4.4§281635§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 6, 2018§Varies with device§Varies with device
Beauty and the Beast§FAMILY§4.4§70883§31M§1,000,000+§Free§0§Everyone§Puzzle;Creativity§August 7, 2018§1.7.6§4.2 and up
Brexit EU§FAMILY§4.4§7§7.5M§500+§Free§0§Everyone§Casual§March 10, 2016§1.0§2.3 and up
To-U - free EV public charging§TRAVEL_AND_LOCAL§4.4§75§19M§1,000+§Free§0§Everyone§Travel & Local§May 23, 2018§2.9.0§4.1 and up
REV Robotic Enhance Vehicles§FAMILY§4.4§2558§61M§100,000+§Free§0§Everyone§Entertainment§January 16, 2018§2.0.11§4.4 and up
Design Home§FAMILY§4.4§539931§69M§10,000,000+§Free§0§Everyone§Simulation§August 6, 2018§1.11.01§4.2 and up
Bike Race - Bike Blast Rush§GAME§4.4§83891§48M§10,000,000+§Free§0§Everyone§Action§July 19, 2018§3.1§4.0 and up
XE Currency§TRAVEL_AND_LOCAL§4.4§77585§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
XE Currency Pro§TRAVEL_AND_LOCAL§4.4§1090§Varies with device§10,000+§Paid§$1.99§Everyone§Travel & Local§May 29, 2018§Varies with device§Varies with device
Snes9x EX+§GAME§4.4§70351§Varies with device§5,000,000+§Free§0§Everyone§Arcade§March 3, 2018§Varies with device§Varies with device
Ex Quotes§LIFESTYLE§4.4§129§8.1M§50,000+§Free§0§Everyone 10+§Lifestyle§June 16, 2018§3.0.1§4.1 and up
EY ATL Fuel Calculator§PRODUCTIVITY§4.4§15§3.1M§500+§Free§0§Everyone§Productivity§July 21, 2018§12§2.1 and up
Eyes - The Scary Horror Game Adventure§GAME§4.4§499483§99M§10,000,000+§Free§0§Teen§Adventure§August 2, 2018§5.6.14§4.1 and up
Third Eye§TOOLS§4.4§19877§4.5M§1,000,000+§Free§0§Everyone§Tools§January 7, 2018§1.1.6§4.0 and up
Sudoku Master§GAME§4.4§58387§3.3M§1,000,000+§Free§0§Everyone§Word§December 13, 2013§1.1.2§2.1 and up
Jungle Monkey Run§GAME§4.4§54082§21M§10,000,000+§Free§0§Everyone§Adventure§July 11, 2018§1.6.8§4.0.3 and up
Organizer§PRODUCTIVITY§4.4§936§5.4M§50,000+§Paid§$2.99§Everyone§Productivity§June 17, 2018§2.96§4.0 and up
EZ Cleaner - Booster Optimizer§TOOLS§4.4§6801§2.8M§500,000+§Free§0§Everyone§Tools§January 8, 2018§1.3.1§4.0.3 and up
Ez Mirror Match§GAME§4.4§3344§36M§500,000+§Free§0§Everyone§Arcade§January 3, 2018§2.1§4.0 and up
EZ Notes Lite§PRODUCTIVITY§4.4§69§3.5M§1,000+§Free§0§Everyone§Productivity§July 8, 2016§2.79§4.0 and up
EZ Financial Calculator§FINANCE§4.4§32§2.3M§1,000+§Free§0§Everyone§Finance§January 13, 2018§2.3§4.4 and up
EZ Screenshot§TOOLS§4.4§55§1.4M§5,000+§Free§0§Everyone§Tools§September 12, 2017§1.1.4§5.0 and up
Messages, Text and Video Chat for Messenger§SOCIAL§4.4§49580§4.0M§10,000,000+§Free§0§Everyone§Social§June 4, 2018§1.24§4.1 and up
Facebook Face to Face Events§BUSINESS§4.4§4518§26M§1,000,000+§Free§0§Everyone§Business§March 1, 2018§1.5§4.1 and up
Golden HoYeah Slots - Real Casino Slots§GAME§4.4§201537§68M§5,000,000+§Free§0§Teen§Casino§August 1, 2018§2.1.7§4.0.3 and up
Farm Heroes Saga§FAMILY§4.4§7615646§71M§100,000,000+§Free§0§Everyone§Casual§August 7, 2018§5.2.6§2.3 and up
Block Puzzle - Wood Legend§FAMILY§4.4§318867§10M§10,000,000+§Free§0§Everyone§Puzzle§July 6, 2018§26.0§4.0.3 and up
Stickers for Imo, fb, whatsapp§SOCIAL§4.4§214§8.7M§10,000+§Free§0§Teen§Social§October 23, 2016§1.0.0.2§2.3 and up
FC Barcelona Fantasy Manager: Real football mobile§SPORTS§4.4§15221§30M§1,000,000+§Free§0§Everyone§Sports§October 2, 2017§7.30.005§4.0.3 and up
Barcelona News - Sportfusion§SPORTS§4.4§382§20M§10,000+§Free§0§Everyone§Sports§March 6, 2018§3.953§4.1 and up
Barcelona Calendar§SPORTS§4.4§670§3.1M§10,000+§Free§0§Everyone§Sports§November 17, 2017§2.2§4.0.3 and up
Cambridge English FC§FAMILY§4.4§761§11M§50,000+§Free§0§Everyone§Education§October 6, 2016§2.1.0§4.0 and up
Barcelona Live - Goal Score & News for Barca Fans§SPORTS§4.4§38§2.6M§10,000+§Free§0§Everyone§Sports§August 17, 2017§1.0§4.0 and up
Sports Lite§SPORTS§4.4§16§4.9M§1,000+§Free§0§Everyone§Sports§July 31, 2018§1.0§4.0.3 and up
RD/FD Calculator§FINANCE§4.4§92§1.5M§10,000+§Free§0§Everyone§Finance§January 31, 2017§1.2.1§4.0.3 and up
Deposit Calculator FD & RD§FINANCE§4.4§18§3.4M§10,000+§Free§0§Everyone§Finance§January 21, 2017§1.1§3.0 and up
HD Video Download for Facebook§VIDEO_PLAYERS§4.4§20755§17M§1,000,000+§Free§0§Everyone§Video Players & Editors§March 16, 2018§4.0.3§4.1 and up
Note FE Theme And Launcher For Samsung Galaxy§PERSONALIZATION§4.4§7§9.8M§1,000+§Free§0§Everyone§Personalization§August 28, 2017§1.0§4.0 and up
HD Themes Volvo FH Trucks§PERSONALIZATION§4.4§40§13M§5,000+§Free§0§Teen§Personalization§June 21, 2016§1.0§2.3.3 and up
studentsLife by FH Kärnten§FAMILY§4.4§108§Varies with device§5,000+§Free§0§Everyone§Education§March 30, 2018§4.0.1§4.4 and up
Talking Tom Bubble Shooter§FAMILY§4.4§687136§54M§50,000,000+§Free§0§Everyone§Casual§May 25, 2018§1.5.3.20§4.1 and up
Forgotten Hill: Fall§GAME§4.4§1063§18M§50,000+§Free§0§Teen§Adventure§October 30, 2017§1.7§3.0 and up
Talking Husky Dog§FAMILY§4.4§26545§40M§1,000,000+§Free§0§Everyone§Casual§July 20, 2018§2.08§4.1 and up
Signal Spy - Monitor Signal Strength & Data Usage§TOOLS§4.4§875§8.5M§100,000+§Free§0§Everyone§Tools§December 31, 2017§1.9.9.5§5.1 and up
4 x4 Offroad SUV 3D Truck Simulator Driving 2017§FAMILY§4.4§32§37M§1,000+§Free§0§Everyone§Simulation§December 6, 2017§1.0§2.3 and up
Rope Hero: Vice Town§GAME§4.4§452589§99M§10,000,000+§Free§0§Mature 17+§Action§July 1, 2018§2.2§4.0 and up
PIP Selfie Camera Photo Editor§PHOTOGRAPHY§4.4§156322§Varies with device§10,000,000+§Free§0§Everyone§Photography§February 1, 2018§Varies with device§Varies with device
FK§MEDICAL§4.4§1517§8.5M§100,000+§Free§0§Everyone§Medical§July 13, 2018§2.5.9§2.3 and up
Fairy Kingdom: World of Magic and Farming§FAMILY§4.4§129542§63M§1,000,000+§Free§0§Everyone§Strategy;Creativity§July 23, 2018§2.4.9§4.0.3 and up
FL House§PRODUCTIVITY§4.4§29§Varies with device§1,000+§Free§0§Everyone§Productivity§November 22, 2016§1.6.7§Varies with device
FL Racing Manager 2015 Pro§SPORTS§4.4§656§22M§5,000+§Paid§$0.99§Everyone§Sports§March 12, 2016§0.858§3.0 and up
Lottery Driver- Florida Result§FAMILY§4.4§70§4.4M§5,000+§Free§0§Teen§Entertainment§April 16, 2017§2.5§4.1 and up
FRONTLINE COMMANDO§GAME§4.4§1351833§12M§10,000,000+§Free§0§Teen§Action§October 28, 2013§3.0.3§2.1 and up
South Florida MLS§LIFESTYLE§4.4§133§13M§10,000+§Free§0§Everyone§Lifestyle§June 2, 2018§2.8.4§4.0.3 and up
